date,description,categorie,type,montant
2025-01-02,Plein de Carburant (Flotte),Carburant,debit,84855
2025-01-03,Réparation Camion / Achat de Pièces,Entretien,debit,643858
2025-01-04,Plein de Carburant (Flotte),Carburant,debit,60980
2025-01-05,Plein de Carburant (Flotte),Carburant,debit,95481
2025-01-05,Loyer Entrepôt Logistique,Loyer,debit,550000
2025-01-06,Plein de Carburant (Flotte),Carburant,debit,81950
2025-01-09,Facture Client - Livraison Express (Retard de paiement),Ventes,credit,150698
2025-01-09,Facture Client - Fret Régional,Ventes,credit,143216
2025-01-10,Facture Client - Fret Régional,Ventes,credit,187874
2025-01-10,Plein de Carburant (Flotte),Carburant,debit,104578
2025-01-11,Plein de Carburant (Flotte),Carburant,debit,76194
2025-01-14,Facture Client - Livraison Express (Retard de paiement),Ventes,credit,139023
2025-01-14,Facture Client - Fret Régional,Ventes,credit,124544
2025-01-14,Plein de Carburant (Flotte),Carburant,debit,80209
2025-01-15,Facture Client - Livraison Express (Retard de paiement),Ventes,credit,112863
2025-01-15,Plein de Carburant (Flotte),Carburant,debit,93013
2025-01-16,Plein de Carburant (Flotte),Carburant,debit,66710
2025-01-18,Plein de Carburant (Flotte),Carburant,debit,103110
2025-01-20,Plein de Carburant (Flotte),Carburant,debit,69546
2025-01-22,Plein de Carburant (Flotte),Carburant,debit,92104
2025-01-23,Facture Client - Livraison Express,Ventes,credit,83377
2025-01-23,Facture Client - Fret Régional,Ventes,credit,183570
2025-01-23,Plein de Carburant (Flotte),Carburant,debit,90837
2025-01-24,Facture Client - Fret Régional,Ventes,credit,128509
2025-01-24,Facture Client - Fret Régional,Ventes,credit,168458
2025-01-24,Réparation Camion / Achat de Pièces,Entretien,debit,380760
2025-01-27,Facture Client - Fret Régional,Ventes,credit,137001
2025-01-27,Plein de Carburant (Flotte),Carburant,debit,93248
2025-01-28,Facture Client - Livraison Express,Ventes,credit,92528
2025-01-28,Facture Client - Livraison Express (Retard de paiement),Ventes,credit,95242
2025-01-28,Plein de Carburant (Flotte),Carburant,debit,107629
2025-01-28,Paiement Salaires (Chauffeurs et Admin),Salaires,debit,1200000
2025-01-29,Plein de Carburant (Flotte),Carburant,debit,103567
2025-01-30,Plein de Carburant (Flotte),Carburant,debit,92242
2025-01-31,Plein de Carburant (Flotte),Carburant,debit,90412
2025-02-01,Réparation Camion / Achat de Pièces,Entretien,debit,704055
2025-02-02,Plein de Carburant (Flotte),Carburant,debit,104432
2025-02-02,Réparation Camion / Achat de Pièces,Entretien,debit,646910
2025-02-03,Plein de Carburant (Flotte),Carburant,debit,73379
2025-02-04,Plein de Carburant (Flotte),Carburant,debit,74274
2025-02-05,Facture Client - Livraison Express,Ventes,credit,182297
2025-02-05,Facture Client - Livraison Express (Retard de paiement),Ventes,credit,107373
2025-02-05,Loyer Entrepôt Logistique,Loyer,debit,550000
2025-02-06,Plein de Carburant (Flotte),Carburant,debit,77484
2025-02-08,Plein de Carburant (Flotte),Carburant,debit,80195
2025-02-09,Plein de Carburant (Flotte),Carburant,debit,100643
2025-02-10,Plein de Carburant (Flotte),Carburant,debit,81924
2025-02-11,Facture Client - Livraison Express,Ventes,credit,98984
2025-02-11,Facture Client - Fret Régional,Ventes,credit,140539
2025-02-11,Plein de Carburant (Flotte),Carburant,debit,87148
2025-02-12,Facture Client - Fret Régional,Ventes,credit,89295
2025-02-12,Facture Client - Fret Régional,Ventes,credit,150635
2025-02-12,Plein de Carburant (Flotte),Carburant,debit,92196
2025-02-13,Facture Client - Fret Régional,Ventes,credit,84880
2025-02-13,Facture Client - Livraison Express,Ventes,credit,160848
2025-02-13,Plein de Carburant (Flotte),Carburant,debit,90296
2025-02-13,Réparation Camion / Achat de Pièces,Entretien,debit,458371
2025-02-14,Plein de Carburant (Flotte),Carburant,debit,75866
2025-02-15,Plein de Carburant (Flotte),Carburant,debit,84711
2025-02-16,Plein de Carburant (Flotte),Carburant,debit,98604
2025-02-17,Plein de Carburant (Flotte),Carburant,debit,96511
2025-02-21,Facture Client - Livraison Express (Retard de paiement),Ventes,credit,189809
2025-02-21,Facture Client - Livraison Express,Ventes,credit,142019
2025-02-21,Plein de Carburant (Flotte),Carburant,debit,93296
2025-02-23,Plein de Carburant (Flotte),Carburant,debit,96617
2025-02-24,Facture Client - Livraison Express (Retard de paiement),Ventes,credit,123308
2025-02-24,Plein de Carburant (Flotte),Carburant,debit,99748
2025-02-25,Plein de Carburant (Flotte),Carburant,debit,66854
2025-02-26,Plein de Carburant (Flotte),Carburant,debit,81604
2025-02-27,Facture Client - Livraison Express (Retard de paiement),Ventes,credit,163024
2025-02-27,Plein de Carburant (Flotte),Carburant,debit,83768
2025-02-28,Facture Client - Fret Régional,Ventes,credit,129639
2025-02-28,Plein de Carburant (Flotte),Carburant,debit,76778
2025-02-28,Paiement Salaires (Chauffeurs et Admin),Salaires,debit,1200000
2025-03-02,Plein de Carburant (Flotte),Carburant,debit,96282
2025-03-03,Plein de Carburant (Flotte),Carburant,debit,103367
2025-03-05,Facture Client - Livraison Express (Retard de paiement),Ventes,credit,155084
2025-03-05,Facture Client - Fret Régional,Ventes,credit,154117
2025-03-05,Loyer Entrepôt Logistique,Loyer,debit,550000
2025-03-07,Facture Client - Livraison Express,Ventes,credit,99042
