date,description,categorie,type,montant
2025-01-01,Facture Client - Déménagement,Ventes,credit,102089
2025-01-01,Facture Client - Déménagement,Ventes,credit,173428
2025-01-02,Facture Client - Fret Régional,Ventes,credit,221794
2025-01-02,Plein de Carburant (Flotte),Carburant,debit,88873
2025-01-03,Facture Client - Fret Régional,Ventes,credit,365396
2025-01-03,Facture Client - Livraison Express,Ventes,credit,51506
2025-01-03,Facture Client - Déménagement,Ventes,credit,162738
2025-01-03,Facture Client - Déménagement,Ventes,credit,159957
2025-01-03,Plein de Carburant (Flotte),Carburant,debit,53617
2025-01-04,Facture Client - Livraison Express,Ventes,credit,35824
2025-01-04,Facture Client - Livraison Express,Ventes,credit,45224
2025-01-04,Plein de Carburant (Flotte),Carburant,debit,56834
2025-01-04,Réparation Camion / Pièces,Entretien,debit,396674
2025-01-05,Loyer Entrepôt Logistique,Loyer,debit,400000
2025-01-05,Réparation Camion / Pièces,Entretien,debit,281911
2025-01-06,Facture Client - Livraison Express,Ventes,credit,55209
2025-01-06,Facture Client - Fret Régional,Ventes,credit,238483
2025-01-06,Facture Client - Livraison Express,Ventes,credit,48958
2025-01-06,Plein de Carburant (Flotte),Carburant,debit,86086
2025-01-07,Facture Client - Déménagement,Ventes,credit,141703
2025-01-07,Plein de Carburant (Flotte),Carburant,debit,66531
2025-01-08,Facture Client - Déménagement,Ventes,credit,174947
2025-01-08,Facture Client - Livraison Express,Ventes,credit,61360
2025-01-08,Facture Client - Déménagement,Ventes,credit,110397
2025-01-09,Facture Client - Livraison Express,Ventes,credit,36702
2025-01-10,Facture Client - Fret Régional,Ventes,credit,386650
2025-01-10,Facture Client - Déménagement,Ventes,credit,186033
2025-01-10,Plein de Carburant (Flotte),Carburant,debit,72509
2025-01-11,Plein de Carburant (Flotte),Carburant,debit,79431
2025-01-12,Facture Client - Déménagement,Ventes,credit,181456
2025-01-12,Facture Client - Déménagement,Ventes,credit,194994
2025-01-12,Facture Client - Déménagement,Ventes,credit,141061
2025-01-12,Facture Client - Fret Régional,Ventes,credit,169485
2025-01-12,Plein de Carburant (Flotte),Carburant,debit,52802
2025-01-13,Facture Client - Fret Régional,Ventes,credit,220505
2025-01-13,Facture Client - Livraison Express,Ventes,credit,32060
2025-01-13,Facture Client - Fret Régional,Ventes,credit,172184
2025-01-13,Facture Client - Livraison Express,Ventes,credit,71029
2025-01-13,Plein de Carburant (Flotte),Carburant,debit,80783
2025-01-14,Facture Client - Livraison Express,Ventes,credit,46226
2025-01-14,Facture Client - Fret Régional,Ventes,credit,225234
2025-01-14,Plein de Carburant (Flotte),Carburant,debit,58272
2025-01-15,Facture Client - Fret Régional,Ventes,credit,398101
2025-01-15,Facture Client - Fret Régional,Ventes,credit,208748
2025-01-15,Facture Client - Fret Régional,Ventes,credit,241272
2025-01-15,Facture Client - Fret Régional,Ventes,credit,362217
2025-01-15,Plein de Carburant (Flotte),Carburant,debit,67295
2025-01-16,Facture Client - Fret Régional,Ventes,credit,189929
2025-01-16,Plein de Carburant (Flotte),Carburant,debit,57157
2025-01-17,Facture Client - Livraison Express,Ventes,credit,64824
2025-01-17,Facture Client - Déménagement,Ventes,credit,104782
2025-01-17,Facture Client - Livraison Express,Ventes,credit,34694
2025-01-17,Plein de Carburant (Flotte),Carburant,debit,54151
2025-01-18,Plein de Carburant (Flotte),Carburant,debit,50096
2025-01-20,Facture Client - Fret Régional,Ventes,credit,189186
2025-01-20,Plein de Carburant (Flotte),Carburant,debit,52786
2025-01-21,Facture Client - Livraison Express,Ventes,credit,34825
2025-01-21,Plein de Carburant (Flotte),Carburant,debit,50422
2025-01-22,Facture Client - Livraison Express,Ventes,credit,68925
2025-01-22,Facture Client - Fret Régional,Ventes,credit,385371
2025-01-22,Facture Client - Déménagement,Ventes,credit,169897
2025-01-23,Facture Client - Fret Régional,Ventes,credit,239422
2025-01-23,Facture Client - Livraison Express,Ventes,credit,49950
2025-01-23,Facture Client - Livraison Express,Ventes,credit,33333
2025-01-23,Facture Client - Livraison Express,Ventes,credit,44958
2025-01-23,Plein de Carburant (Flotte),Carburant,debit,45290
2025-01-24,Facture Client - Déménagement,Ventes,credit,134369
2025-01-25,Plein de Carburant (Flotte),Carburant,debit,47470
2025-01-26,Facture Client - Déménagement,Ventes,credit,149495
2025-01-26,Facture Client - Livraison Express,Ventes,credit,66148
2025-01-26,Facture Client - Fret Régional,Ventes,credit,355302
2025-01-26,Plein de Carburant (Flotte),Carburant,debit,52749
2025-01-27,Facture Client - Déménagement,Ventes,credit,137105
2025-01-27,Facture Client - Déménagement,Ventes,credit,137237
2025-01-27,Facture Client - Déménagement,Ventes,credit,132447
2025-01-27,Facture Client - Déménagement,Ventes,credit,86951
2025-01-27,Plein de Carburant (Flotte),Carburant,debit,71390
2025-01-28,Facture Client - Déménagement,Ventes,credit,168359
2025-01-28,Facture Client - Déménagement,Ventes,credit,175242
2025-01-28,Facture Client - Livraison Express,Ventes,credit,49676
2025-01-28,Facture Client - Fret Régional,Ventes,credit,322828
2025-01-28,Paiement Salaires (Chauffeurs),Salaires,debit,850000
2025-01-29,Facture Client - Livraison Express,Ventes,credit,27505
2025-01-29,Facture Client - Déménagement,Ventes,credit,152356
2025-01-29,Facture Client - Livraison Express,Ventes,credit,26395
2025-01-29,Plein de Carburant (Flotte),Carburant,debit,82331
