date,description,categorie,type,montant
2025-01-01,Vente Vrac Huile / Tourteaux Agro,Ventes,credit,790503
2025-01-01,Agios et Commission Découvert Bancaire CBAO,Frais Financiers,debit,98368
2025-01-02,Vente Vrac Huile / Tourteaux Agro,Ventes,credit,1759725
2025-01-03,Vente Vrac Huile / Tourteaux Agro,Ventes,credit,1544110
2025-01-06,Vente Vrac Huile / Tourteaux Agro,Ventes,credit,1321633
2025-01-10,Vente Vrac Huile / Tourteaux Agro,Ventes,credit,707039
2025-01-10,Achat Collecte Graines Arachide - Coopérative Kaolack,Fournisseur,debit,2239057
2025-01-14,Facture Électricité Senelec Usine,Énergie,debit,613011
2025-01-15,Vente Vrac Huile / Tourteaux Agro,Ventes,credit,1368722
2025-01-16,Vente Vrac Huile / Tourteaux Agro,Ventes,credit,1613060
2025-01-17,Vente Vrac Huile / Tourteaux Agro,Ventes,credit,570707
2025-01-20,Vente Vrac Huile / Tourteaux Agro,Ventes,credit,1538548
2025-01-22,Achat Collecte Graines Arachide - Coopérative Kaolack,Fournisseur,debit,3059652
2025-01-23,Vente Vrac Huile / Tourteaux Agro,Ventes,credit,1032290
2025-01-28,Salaires Personnel Usine & Manutention,Salaires,debit,1200000
2025-01-29,Vente Vrac Huile / Tourteaux Agro,Ventes,credit,907945
2025-01-30,Vente Vrac Huile / Tourteaux Agro,Ventes,credit,532967
2025-01-31,Vente Vrac Huile / Tourteaux Agro,Ventes,credit,626786
2025-02-03,Vente Vrac Huile / Tourteaux Agro,Ventes,credit,1280749
2025-02-04,Vente Vrac Huile / Tourteaux Agro,Ventes,credit,1687168
2025-02-05,Vente Vrac Huile / Tourteaux Agro,Ventes,credit,1432757
2025-02-06,Vente Vrac Huile / Tourteaux Agro,Ventes,credit,585724
2025-02-07,Vente Vrac Huile / Tourteaux Agro,Ventes,credit,782539
2025-02-10,Achat Collecte Graines Arachide - Coopérative Kaolack,Fournisseur,debit,2474722
2025-02-12,Vente Vrac Huile / Tourteaux Agro,Ventes,credit,1439491
2025-02-13,Vente Vrac Huile / Tourteaux Agro,Ventes,credit,664914
2025-02-14,Vente Vrac Huile / Tourteaux Agro,Ventes,credit,411793
2025-02-14,Facture Électricité Senelec Usine,Énergie,debit,700120
2025-02-17,Vente Vrac Huile / Tourteaux Agro,Ventes,credit,913316
2025-02-19,Vente Vrac Huile / Tourteaux Agro,Ventes,credit,652779
2025-02-20,Vente Vrac Huile / Tourteaux Agro,Ventes,credit,1278805
2025-02-21,Vente Vrac Huile / Tourteaux Agro,Ventes,credit,760212
2025-02-22,Achat Collecte Graines Arachide - Coopérative Kaolack,Fournisseur,debit,2256347
2025-02-24,Vente Vrac Huile / Tourteaux Agro,Ventes,credit,932424
2025-02-25,Vente Vrac Huile / Tourteaux Agro,Ventes,credit,449259
2025-02-26,Vente Vrac Huile / Tourteaux Agro,Ventes,credit,1084106
2025-02-28,Vente Vrac Huile / Tourteaux Agro,Ventes,credit,672408
2025-02-28,Salaires Personnel Usine & Manutention,Salaires,debit,1200000
2025-03-01,Agios et Commission Découvert Bancaire CBAO,Frais Financiers,debit,175292
2025-03-03,Vente Vrac Huile / Tourteaux Agro,Ventes,credit,574529
2025-03-04,Vente Vrac Huile / Tourteaux Agro,Ventes,credit,1585287
2025-03-05,Vente Vrac Huile / Tourteaux Agro,Ventes,credit,998572
2025-03-06,Vente Vrac Huile / Tourteaux Agro,Ventes,credit,1357753
2025-03-10,Achat Collecte Graines Arachide - Coopérative Kaolack,Fournisseur,debit,2702768
2025-03-11,Vente Vrac Huile / Tourteaux Agro,Ventes,credit,665251
2025-03-13,Vente Vrac Huile / Tourteaux Agro,Ventes,credit,1707227
2025-03-14,Vente Vrac Huile / Tourteaux Agro,Ventes,credit,1338321
2025-03-14,Facture Électricité Senelec Usine,Énergie,debit,708582
2025-03-17,Vente Vrac Huile / Tourteaux Agro,Ventes,credit,1452273
2025-03-18,Vente Vrac Huile / Tourteaux Agro,Ventes,credit,715737
2025-03-19,Vente Vrac Huile / Tourteaux Agro,Ventes,credit,526012
2025-03-20,Vente Vrac Huile / Tourteaux Agro,Ventes,credit,1322708
2025-03-22,Achat Collecte Graines Arachide - Coopérative Kaolack,Fournisseur,debit,1509292
2025-03-24,Vente Vrac Huile / Tourteaux Agro,Ventes,credit,1267203
2025-03-27,Vente Vrac Huile / Tourteaux Agro,Ventes,credit,445718
2025-03-28,Salaires Personnel Usine & Manutention,Salaires,debit,1200000
2025-04-01,Agios et Commission Découvert Bancaire CBAO,Frais Financiers,debit,133836
2025-04-04,Vente Vrac Huile / Tourteaux Agro,Ventes,credit,257223
2025-04-14,Vente Vrac Huile / Tourteaux Agro,Ventes,credit,430266
2025-04-14,Facture Électricité Senelec Usine,Énergie,debit,615956
2025-04-17,Vente Vrac Huile / Tourteaux Agro,Ventes,credit,176147
